text,Score
why is d only financial institution hugely supporting sports especially basketball in nigeria leaves me thinkin,neutral
i nominate switch summer camp,neutral
in other news welcome to gtbank somewhere in lekki earlier today oceaneconomy,neutral
kindly credit my acct with the k unit i purchased on your mobile app i need that unit for a very impor,neutral
the image brings no memories since you guys don t reply your customers dm,negative
this bank gives me too much of issues,negative
you spoke we listened find the missing value and stand a chance to win countdown to nigeria s foremos,neutral
drag dem for here take my word for it dem no go return ur money if u no shook leg for their trouza,negative
don t miss out on the mega giveaways happening on our page we are giving out free ubacards pre loaded with cash movie tick,neutral
still waiting for your response,negative
and when you call customer care it just doesn t work,negative
made use of the app to pay my utilities for the very time i ve been debited amp yet my,neutral
i already did said i have multiple accounts i m in camp and will need to submit this soonest pls,neutral
pls i didn t authorize the payment of to netflix from my a c,neutral
follow us now for useful banking tips,neutral
shop without limit pay for visa air tickets hotels amp more with your naira or dollar mastercard fcmbsummer ht,neutral
what happened to responding in my dm were i reached out as opposed to putting my business here biko,neutral
here s how to nail the s look effortlessly,neutral
please reply me dm,neutral
honestly i heard sacked upto employees on con,neutral
our dysfunctional vatican,neutral
don t be a victim be wary of unusually friendly faces at atm points don t accept transfers from strangers asking you to,neutral
okay we will,neutral
as usual linked their creative to finance the core of their business the dice showed dates tha,neutral
extra expenses are simply unnecessary when you can do without them pay zero charges on all your transactions today,neutral
abdulwaris ahmad,neutral
are you thinking what am thinking,neutral
gtbank doesn t reduct my money oh they are the best i don t have the app tho,positive 
failed biller payment bt money debited pls help to rectify,neutral
hey the citibank ceo literally dictated the cabinet for you,neutral
you borrow money but they always beg you to pay back you borrow credit amp then you change your sim these negatively a,neutral
justiceforadetutu justicefortutu are been quiet about the murder of one of their akure staff miss adetutu,negative
davido s shoes wiz s networth,neutral
dear is it right that should transfer money into another person s accoun,neutral
i m yet to get a reply i transferred money to someone and the person said he hasn t seen it i wa,negative
wouldn t you want yourself some super sweet iphone s currently available for gb is n gb is n,neutral
check dm,neutral
everyone can now enjoy premium banking services with zenith bank all you have to do is dial from your mobile devic,neutral
the children were well fed all thanks to and the unicef initiative no kid was left behind,neutral
guys i need your help my project water of katampe just got a lifeline we need k retweets for the great people at,neutral
mrtx upgrade to buy and pt citibank pt to from sun trust gapping up,neutral
i m paying tax and it s not my duty to clean up waste,neutral
it is more than weeks now and you guys are yet to effect my reversal meanwhile says reversa,negative
dear a fraudster who goes by the name oluwatayo akanbi has just duped me of n,negative
garden egg and ose oji no thinking about it,neutral
open ur dm,neutral
pls my account was debited twice and i ve not received a reversal,negative
pls i need my branch sort code diamond alaba branch thanks,neutral
uk the economy is about billion smaller than if the country had voted to stay in the eu and a no deal brexit could,neutral
boss that bank is really fucked up now,negative
your naira can buy sanitary pads for a secondary school girl who can t afford one we will be reaching out to,neutral
no time,neutral
this sounds interesting seems like it s time to dump some banks,negative
bro na elect elect you do o how come about the bank knowledge nawa o,neutral
do follow for your ankara tote bags they are available and pocket friendly dm to place your orde,neutral
they ve not been that bad and i haven t experienced a worse service just give me insights,neutral
hello access please i need your help connecting my account with my bvn good evening,neutral
how can i increase my transfer limits,neutral
for free,neutral
i refuse to choose,neutral
i don t know what is wrong with your website have been trying to get my pin for mobile app transa,neutral
qanda what is gtbank nuban number join foskaayforum for answers live thanks,neutral
does the app work without atm,neutral
fraudsters deepfake ceo s voice to trick manager into transferring btw citibank uses voice biometrics to match pe,negative
account details airhunmwunde monalisa gtbank please guys even if it s k pleaseeeee,neutral
thank you for your response will do,positive 
uba brand ambassador wizkid starboy put on an electrifying show last night at the kololo airstrip uba was well represent,neutral
what is wrong now i cannot withdraw make transfers or even buy airtime i just embarrassed my self at spar,negative
please poop people of god i m still expecting the credit alert from my fbn to my fcmb since yesterday i won,negative
pls can you credit back my account after you debited me for a failed atm transaction this happen,negative
guys i need your help my project water of katampe just got a lifeline we need k retweets for the great people at,neutral
its gonna be awesome guys and our queen of highlights is gonna be there come through our lagos mercenaries mercyxmapi,neutral
nollywood is already waiting for him buh he needs to stay for the icons we need him,neutral
do you know agriculture is a trillion dollar economy so why are you not investing in it tbh you re are doing yourself o,neutral
twitter please this one is on us peter is losing his sights by the day he needs n to temporarily sustain his sight,neutral
just letting you know that there won t be any rest till i get my money back tomorrow is a working da,negative
tomorrow we walk for a common goal one aim and one heart in alliance with we are taking a heart wa,neutral
o ye nigerian rogue bank what other secret bank accounts and secret banking transactions have you,negative
also no idea what is in the letter i need an explanation asap as it may be a something that could expos,neutral
try my own it will go first bank,neutral
did you miss this with just ngn you can now invest in companies like total nigeria dangote cement nestle gtbank,neutral
how come your name is bright but you are not bright,negative
correct also large stock holder in twitter and citibank wikileaks exposes his and citibank s role in,neutral
i have dm my complaint to you for over a week and my money is not yet reversed,negative
mention and on twitter using the below i nominate medicaid cancer foundation,neutral
going by experience i am really worried that beyond heritage there are much more p,neutral
not user friendly,negative
may allah forgive her shortcomings and grants her jannah my condolence,neutral
dear sirs,neutral
kindly attend to my dm,neutral
good to know many thanks,positive 
i need a bank better than any suggestions,negative
oh dear we are very sorry to hear this please let us know the location of these atms,neutral
pls read ur dm,neutral
fresh like new uk used apple iphone is currently available price gb is n gb is n,neutral
i need ur assistance pls,neutral
best bank,positive 
a strong network is definitely needed for seamless usage of the app however there should not be a,neutral
in the current political climate it is fashionable to talk about breaking oligopolies of fb amazon google apple etc alm,neutral
the food you love the drink you love the fashion you love and all you love in one location at the ubamarketplace totall,neutral
great,positive 
hello my mobile app is saying no account found this is my account number,neutral
my own simpler and smarter bank what is wrong with the network i made a transfer since yesterday to a,positive 
hi you asked me to remind you of this tweet,neutral
please dm us a screenshot of the feedback to accessbank help to be assisted,neutral
estola got my reward already ubabirthdays,neutral
a certain individual had only one job,neutral
good afternoon the money was sent from my gtb to diamond acct on friday and it has not been delivered,neutral
i have dm you details of the transaction no response indicating your prompt activity in my complaint what and whe,neutral
hello we apologize for this experience please be informed that you can re,neutral
jeffrey epstein s private wealth banker who brokered and signed off on untold multiple millions of dollars in controver,neutral
check your dm my complains have been made,neutral
igwilo valkiing,neutral
i need your help in confirming the details of this transaction cbn neft revenue e collection inec,neutral
this is the response i got from you and this are the questions i need a,neutral
i logged in a complain last week that i did a pos transaction and i was debited and the trans,negative
which time are u coming to maiduguri,neutral
happeningnow africa s largest entrepreneurial fair ubamarketplace shop eat play amp network with industry experts polic,neutral
you davido and dubai what could be better spend days in dubai with davido in the dubai summer tour vacation organized,neutral
i nominate they are the one who deserve this,neutral
worst bank in nigeria,negative
do everything with leo do everything with united bank for africa,positive 
brothers and sisters please fatima abdullahi has been cancer patient for one year now and right now she also has brai,neutral
i dream of a nigeria where corruption is killed and transparency becomes a friend of all a land where everyone will put,neutral
please my sister just had all the money in her access bank account cleared ngn she received alerts from from wal,neutral
i prefer a week at the kenyan safari tour travel weekendvibes vacation,neutral
good day i will like a double debit of n airtime made on my account after first attempt displayed an err,neutral
omg that s my voice,neutral
the future of fashion will be sketched by a new generation of african designers will you be one here is an opportunity to tu,neutral
how is the weekend going you can deposit cash from today s sales using our envelope deposit smes entrepreneur,neutral
went to gtbank fashion weekend wearing my brand made this outfit in less than hours,neutral
lemme rack my brain,neutral
dear this dude is one of my followers if you give him a job i promise you i will reactivate my account,neutral
i think you people bit more than you can chew,negative
how can my bank be requesting failed transaction receipt from road side pos after acknow,negative
i dunno why they created this handle if it doesn t work baba w,negative
pristine clean direct uk used apple macbook air amp pro are currently available ranges from,neutral
good morning is there any reasonable explanation as to why all transfers to my account aren t,neutral
if it s crispy then i shot it,neutral
click on this link to submit your nominations enablingsuccessngo ngo nonprofit christmasca,neutral
i used my card to buy fuel at a filling station this morning i just noticed i am debited twic,negative
gtbank akai mfreke mfon god s blessings and thank you will be in order,neutral
account details fatima abdullah gtbank no amount is little,neutral
travel the world and make astonishing recollections this mid year with your card you approach for booking and,neutral
before i take your case to cbn reply my dms,negative
wrote you ppl about a payment made online through map ikejaelectric online payment money was debited acc,neutral
help enkay create more timeless experiences in the bbnaija pepper dem house voting closes at wat so hurry,neutral
dear this dude is one of my followers if you give him a job i promise you i will reactivate my account,neutral
good evening senior citezen mrs firstbank please i m still waiting for my phcn electricity recharge,neutral
na piggy hole sure pass this days tell me carpenter to m,neutral
in partnership with launched st class material a program which will recognise excepti,neutral
i transferred money yesterday to access bank and first bank have being debited but the receiver haven t been credited,negative
success doesn t just find you you have to go out and get it saturdayvibes,neutral
i m a final year student of pharmacy yesterday morning by got a string of alerts from almost all the mone,neutral
quicktip ever attempted a transaction from the atm pos mobile banking app and you get debited but the transaction was unsucce,negative
hello good morning today will make it working days i removed the sallah holidays from th,neutral
hello j thank you for your interest in a career with citibank i would like to escalate this to our h,neutral
i never had issues with diamond bank for years there was no reason to go complain about their services,positive 
my account has been debited wrongly of today i was suppose to be debited of and my accoun,negative
hi lanre ensure all dm should be sent to this handle accessbank help oam,neutral
citibank is kept on debit hold my a c without any reason i have been since months go to regular city,negative
months ago in life camp by am a man suddenly jumped in front of my car holding a club his intention was that i woul,neutral
it s ubaat giveaway amp we re giving out ubaprepaidcards pre loaded with cash gift bags airtime amp data to win pick a,neutral
facts i mostly never imagined some of the words she s capable of speaking,neutral
whatever u do never bank with shit customer service and shit app,neutral
baby shalom was diagnosed with a hole in the heart and needs our help to live there is a crowd funding campaign using th,neutral
no amount is too little to help with all we need is from people that s something we can achieve today se,neutral
citibank eur a firmer floor sub on eurusd but a sustained rally unlikely for now at ecb meeting l,neutral
ur handle is not responsive my money is hanging between keystone and uba since days now,negative
thanks for your response the branch is aware as it was the service centre that even drew my atten,neutral
citibank it s like it s their hobby to fuck with customers with no sense of responsibility bigbanks,negative
good day i ve been trying to make online payments since yesterday with my master i ve been getting,neutral
deborah egwuatu access bank complain on denied access to short code e s,neutral
na true oo their ussd no dey work for my phone so i don t use it instead i use,negative
three ways to handle change you can fight it and die accept it and survive or lead it and prosper,neutral
bemorechallenge gtbank and wema,neutral
closertopro best time of his life dads a diehard jet fan jakes a dieha,neutral
tried to recharge last night got debited but no credit up till this moment,negative
abeg abeg why have you people done the same thing to me twice in less than a month on top my own money,negative
i say a big congratulations to samuel ikeji chima for winning the,neutral
kindly advice your sister to follow us on our help handle accessbank help so we can write her for further assistance,neutral
if you mobile app keeps fvcking up i ll just follow the crowd and move to,negative
i need a business loan,neutral
did you know you could open a account from the caf redefiningbanking cafeoneng,neutral
all this banks are thiefs to collect money is so easy for them but to help is so hard,negative
are you a woman do you own and run your own business do you need grants to grow your business if yes then this is,neutral
saw this on my way back from church x everywhere,neutral
my youth in la is up next reserve your spot now closertopro makeadifferenceev,neutral
i made a transaction hours from access to gtb and payment hanged how long does it take to reci,negative
lmaoooo you must be a strong supporter of gtbank but i just honestly wish my k can be refunded,negative
friends come and go but some friends eventually become family tag a friend who is like family to you bet you can t,neutral
flash a thief that specializes in the stealing of motorcycles okada caught at bank branch located oppo,neutral
please treat this for,neutral
same here i really don t understand up till now it hasn t reversed back into my account,negative
then twice on three has been reversed and one is still pending i had pleaded and no one has any va,negative
helicopter has crashed into what appears to be the citibank building at th ave and w nd in nyc copter reportedly on f,neutral
transaction id,neutral
brothers and sisters please fatima abdullahi has been cancer patient for one year now and right now she also has brai,neutral
i know someone currently on s net over something related to this guy s be careful out there good awarene,neutral
tell your friends to tell their friends tell tell others about the aspire music festival click here to get start,neutral
if you were at a y m shafa filling station beside gtbank mm way kano inside black camry passenger seat wearing pcap ar,neutral
and are now haven for prostitutes sex for promotion fucking married w,neutral
dear twitter fam cc my elder sister facebook identit,neutral
was a great pleasure sharing the stage along side these great founders solving some of the world s biggest problems,neutral
i just sent you an urgent dm,neutral
i don t understand how you guys enjoy seeing your customers in distress i made payment via my car,negative
please mine is my naira recharge i did on friday,neutral
dear august born we are appreciating you this month to win follow us this image amp comment your birthday with uba,neutral
starting out as an entrepreneur can be frustrating sha well that was until i registered for this access bank sme,negative
i m a final year student of pharmacy yesterday morning by got a string of alerts from almost all the mone,neutral
toh meye na ihu dole sai kaga alert call the person and ask him if he sees the transfer bashikenan ba,neutral
twitter please this one is on us peter is losing his sights by the day he needs n to temporarily sustain his sight,neutral
it was paying that american company whose first headquarters was and still is located at the same address wall st,neutral
isheikh it was obviously a cloned site before you make any trnasaction on the we,neutral
who has seen this trending video of s security at osapa lekki assaulting a customer like,neutral
it s going to be the best of any kind of event if you re in abuja you should be at the ubamarketplace on the th an,neutral
a whole bank with no light chai dis country sef,negative
jeffrey epstein s private wealth banker who brokered and signed off on untold multiple millions of dollars in controv,neutral
style by zenith lifestyle fair loading come enjoy the best of music performances masterclasses sales and exhibit,neutral
imagine you finally get a date with this girl that you ve been talking to you have been working up to this moment for a while,neutral
hey everyone this is fatima umar sani my secondary school friend she has been diagnosed with cancer and needs your hel,neutral
sos help kindly for help,neutral
if you are not satisfied report to their regulator,neutral
hi i wanted to up my account now i was debited twice without crediting my number,negative
make sure and keep this tweet handy,neutral
gtbank didn t send me any for months bcos they couldn t find nothing to collect monthly charges,neutral
that s all you guys ever ask yet i haven t gotten my money i m sure i ve given u guys these info,negative
i made a transaction yesterday and was debited but it hasn t been reversed please look into it,negative
have sent my details to your dm am yet to be attended to what s this na,negative
u guys don t reply dms in time again,negative
i m still waiting for my reversal,negative
do you guys pay any taxes down there where i live it s the government s job to clean the gutters not mine or the church th,neutral
hello reply my dm,neutral
what y all see what i see olamide rooney ice,neutral
please provide a solution for the same,neutral
had fun edu,neutral
grab n go ubamarketplace,neutral
this is unfair i m fed up trying to stay positive amp you keep deducting money and no,negative
on which side of these long lines of traditional beauty and culture are you are they painful divisions that s,neutral
chelsea arsenal eplfinals,neutral
move your money to a foreign account,negative
please check your dm,neutral
idumota branch how can you guys be on environmental is this not joncing am not yet open for custom,neutral
upshutinwears is also into logo creation company business badge and so on dm open iphone nysc access bank jay z,neutral
we have quality amp portable wireless chargers for your smart devices at very discounted rates swipe dm or call,neutral
breaking news have you heard that you can get the cbn creative sector loan in any access bank branch,neutral
eid mubarak to all our muslim brothers and sisters we wish you happiness god s mercies and answers to all of your prayers,neutral
hi we are sorry to learn about this kindly share your account number and the error mess,neutral
but how come i get charged n for every single atm withdrawal not in access bank,neutral
sent you a dm,neutral
isheikh it was obviously a cloned site before you make any trnasaction on the we,neutral
it s shooting shots season and i am shooting my shots at i just finished my uba mobile app redesign and it wo,neutral
ayo from gtbank god will punish you for taking my babe from me they will take her from you too,neutral
i wonder how people will apply for a job and when given the opportunity they will start abusing it stanbic b,neutral
so tell me why should i fund account you put a minus of k on it all the money being sent to my accoun,neutral
this is so unfair you guys are not concerned about customer satisfaction just here to post on the hour,negative
no disrespect to the other artiste but tope alabi s yoruba is not from generation most times i thought she had her i,neutral
we re live ubamarketplace is today party with dj cuppy dj neptune and a host of others not reg,neutral
hi the quick credit loan repayment is the deduction automatic,neutral
this issue of over commission is getting too much the commission is not tallying with deduction from my account why,negative
there are just banks in africa united bank for africa and others congratulations to africa s first global bank ubaat,positive 
which one of you s naira master card works for ad campaigns on instagram or facebook,neutral
allow me to introduce you to the firstbank visa debit multi currency card it is first of its kind to be offered by a,neutral
lmao them no fit even do research which one be gtb bank,neutral
chk your dm,neutral
ok thanks no problem i will do as you advise,positive 
group md of ebenezer onyeagwu commended the fighting spirit of the despite their inabili,neutral
n million on the line which of these rappers would you partner with for a rap battle m i phyno olamide falz,neutral
in order to reiterate the value of the firstbank s nice comment day in no particular order we appreciate all your cont,neutral
i visited one yesterday service was poor and they had no mastercard and another disappointing thing wa,negative
thanks for giving me a nod in recognition of what i do for the youths in the agricultural sector of nigeria,neutral
air warriors make finals in their first debut women basketball league defeating time champions first bank,neutral
and please i d really like to know how u guys end up disappointing me every time i t,negative
you can now perform transactions at stores supermarkets filling stations hotels and other locations in your neighbourhoo,neutral
emmalez why won t you bank with the bank that put youfirst checkout s kindness manifesto firstbankspark,positive 
pavlos one of the cohosts of our podcast is at the and baseball clinic today can,neutral
it s resolved thanks,positive 
because we believe that a synergy between africa and asia will strengthen our technological bond and relationship we,neutral
been trying to change the phone number attached to my bvn for exactly weeks now your branch has a new,neutral
fully shifting from gtbank to access bank but i can t shake the feeling that i m playing myself,negative
see me planning to open an account with mission aborted till i get an updated about the issue,negative
gtbank thanks in advance,positive 
hello thank you for contacting us kindly follow and send us a direct message to with de,neutral
dear is really disheartening that every weekend i will always go through failed transactions and u,neutral
pls stop deducting k frm my money at every transaction don t send me to my village pls ref,negative
it s time for a giveaway here s how to win this and guess the artist who will perform next with redtvrave free a,neutral
abeg reply my message,negative
please help to support savesunkanmi kindly repost share and donate he is currently on dialysis at clinix healt,neutral
i paid for business class tickets on with my card my ticket wasn t issued under the claim tha,neutral
kindly check your dm and attend to my issue nothing has been done on,negative
please attend to dm,neutral
jeffrey epstein s private wealth banker who brokered and signed off on untold multiple millions of dollars in controve,neutral
please kindly respond to your dm,neutral
the journey so far thanks for this one minute experience we can already feel the passion where you are k,neutral
my colleague account with was hacked and a large sum of money moved yet the ban,neutral
i would open a bank account with your bank still make moves for more than of my friends to open account with you how,neutral
please am still having issues on transfer i swear if this thing continue till tomorrow and blocki,negative
anyways enjoy them for the one year period,neutral
thanks but this is so unfair,negative
i almost embraced oluchi like first bank,neutral
good evening i opened my account with two names and now i want to include my middle,neutral
i got my mastercard in less than mins now i can go cashless and shop like never before thanks polarisbank mybank,positive 
how many times am i going to provide the information do you check dms at all,negative
do everything with leo do everything with united bank for africa,positive 
my brother how did it go am a victim too,negative
smile smiling makes you attractive smiling relieves stress smiling elevates your mood smiling is contagious smiling,neutral
hello i have a pending transaction please send me a dm so i can send you my account details for further enquiries,neutral
dieko is your name in the book of life if not register with gtbank kindly my hustle if this appear o,neutral
guys i need your help my project water of katampe just got a lifeline we need k retweets for the great people at,neutral
for two months this is not possible,negative
recharged my phone from my account since yesterday was debited but not airtime,negative
just your daily reminder never to get a pos machine from their customer service if you re a,neutral
kudos to the department of architecture obafemi awolowo university and o you wanna know why they have made,neutral
stylebyzenith with my fav mercy the first female winner of bbn it s not gonna be a dull moment just expect,neutral
icymi citibank select,neutral
vkon energy sale million dollars usd of reho,neutral
my complaint is plain in my last tweet what should i dm your exchange rates are way too high,negative
don t be a victim be wary of unusually friendly faces at atm points don t accept transfers from strangers asking you to,neutral
no amount is too small to support olasunkanmi olarinde please support with funds gtbank olarinde olasunka,neutral
justiceforadetutu adetutu a staff of amp graduate of aaua was assassinated by customer in akure,negative
please why would you request to charge me directly for ussd services why would you take order fro,negative
i love you,positive 
yes i am a girl foundation,neutral
how far,neutral
hey u believe in yourself iyanu ma shele soonest no loose guard gtbank,neutral
don t mind me i need to answer that,neutral
hi and it s that time of the month again when you debit me for a failed pos transa,negative
im a corper serving in bayelsa with acct no i m being denied the withdrawal,neutral
ayo from gtbank god will punish you for taking my babe from me they will take her from you too,neutral
i got the k thanks,positive 
i woke up to this yesterday i had over in this account the previous day my accou,neutral
at gtbank we ensure that you have dedicated relationship managers who guide you through your financial management wouldn t,neutral
good morning sir madam i applied for a pay day loan of n at different interval within this,neutral
no amount is too small to support olasunkanmi olarinde please let s support with funds for kidney transplant god bless yo,neutral
jeffrey epstein s private wealth banker who brokered and signed off on untold multiple millions of dollars in controve,neutral
my own is you must compensate me i don t want all this english you are speaking,neutral
they debited me of and i still haven t got my refund in my account for a data tr,negative
so they encourage u guys to have sex in offices,neutral
sometimes i m amazed by how petty i could be i told someone i work as a cleaner in gtbank thread,neutral
why was i debited from remita under veterinary something even after the issue was resolved,negative
jeffrey epstein s private wealth banker who brokered and signed off on untold multiple millions of dollars in controve,neutral
no biometric is safe you can easily steal them and can t reset them,neutral
local girl was invited to speak about creating business systems at the wevent in abuja hosted by,neutral
good evening i made a transfer of two thousand not from my zenith account to uba i was debited imme,neutral
first blue,neutral
please open your dm,neutral
fashion industry gtbank fashion weekend africa s biggest fashion event holds november th and th,neutral
so returned d money dat was mysteriously debited from my account on d after i logged a com,neutral
who has k they re not using thank you in advance gtbank,neutral
good morning to chase and not citibank i know my account is past due lord,neutral
thanks for your prompt reply regards,positive 
is not too small bro we rise by lifting others here s my ads gtbank,neutral
is this a hrs or a working hours,neutral
sometimes i m amazed by how petty i could be i told someone i work as a cleaner in gtbank thread,neutral
it s obvious you re advertising for them,neutral
yes that s my plan hopefully this week it will work out i will not be bullied by,neutral
good evening i bought airtime via my fbn app i was not credited instead i was debited at pm today,neutral
frame this picture sulaimon lawal as mfm fc u team captain in the npfl u promises in osun state in same ye,neutral
you are welcome i couldn t wait to eat the cake o kindly send my personal copy regards,neutral
the answer is ambiguous,neutral
we too can t wait for the kick off who gets to be the champions predict the score line at time to win n,neutral
me my brother my dad and our neighbors are opening account first thing on monday morning thank you starboy,neutral
the above link isn t working several attempts to open it has failed givingback reward nigeria service unionbank,negative
we have a huge crush on who wouldn t you can make transactions buy airtime pay bills pay merchants and so,neutral
how high was the atm btw,neutral
guys i need your help my project water of katampe just got a lifeline we need k retweets for the great people at,neutral
dear august born we are appreciating you this month to win follow us this image amp comment your birthday with uba,neutral
president buhari visits ecobank s stand at the ongoing th nigerian economic summit,neutral
teacher protector playmate mentor friend adviser in chief this is who the ideal father should be this is what i want,neutral
i have replied again again and again sent all transaction receipts etc you requested but you reply me with silen,neutral
i sent money to someone and he still hasn t received it and i ve been debited please it s urgent help,negative
customer service is getting worse in time i m seated right now at akure cathedral,negative
i have gotten this same response since nd august i wonder how much longer i ll have to wait,negative
she was transferred from oyo to lautech teaching hospital where she is currently she currently needs n to do some,neutral
b o t h,neutral
your branch in ojuelegba gave me fake note,negative
please help ejoor,neutral
we would be happy to look into this for you can you please follow us an,neutral
guys this is mark nlaani that got hit by stroke at tender age of few years after he is currently battling kidney,neutral
please if the money i transfer to a first bank account did not complete over hrs now why can t t,neutral
dear this dude is one of my followers if you give him a job i promise you i will reactivate my account,neutral
time for food amp games guess the name of the brand correctly amp win a ubaprepaidcard preloaded with n amp co,neutral
party with and at stylebyzenith on the th of november visit,neutral
please reply ur dm,neutral
this is the fourth time i m visiting yet no concrete feedback talk less of a reversal pls make una help me get my,negative
remember when we went to new orleans rio at the beginning of the year for a secret project ad excited to announce,neutral
this is to report for failing to refund a failed pos transaction of after the wo,negative
it says successful but have not been credited since yesterday,negative
u better start using gt,positive 
sent k to my other account since morning and i can t see it up till now,negative
this is the second suspected scammer scamming with the name of he said he s from ivestm,negative
this is two days nobody cares to respond to my issue,negative
what kind of room has no doors or windows and comment with the answer to win tickets to thelordsoftheribs,neutral
pls just do this one for me help me just dis once accessthestarsconcert gtbank,neutral
justiceforadetutu this is late miss nofisat adetutu ibrahim a staff of she was gruesomely murdered last we,negative
we rep the nigerianewtribe comfort convenience and style are our proposition to our customers i rep a,neutral
court orders gtbank to refund n million illegal debits to customer,neutral
okay thank you,positive 
i m serious guy,neutral
hello team please i would like to obtain a letter of non indebtedness from polaris bank ltd in res,neutral
do you know the answer tell us in the comments section wednesdayteaser,neutral
w gdp amp announced an addt m to our initial m x americas commitment the trump admin wgdp amp private se,neutral
come have fun with friends celebrities and also have the opportunity to network this friday at flexxsummerparty you also h,neutral
don t be a victim be wary of unusually friendly faces at atm points don t accept transfers from strangers asking you to,neutral
booked international tickets from citibank premier miles card pathetic website it doesn t show the bagg,negative
thanks at first bank i guess you guys just read my tweet and credited the but that s not the importan,neutral
scam every where,negative
sent a mail to cbn cc polaris and guess what my money came back in a flash i love this game,positive 
can someone from ur end also respond to their dm,neutral
i have money in my account but i try to withdraw it s keeps telling insufficient funds,negative
hi please try again,neutral
guess what folks will select loyal customers that have used their fidelity card to purchase,neutral
wizzzzzzzzzzzy allmyguysareballerz congratulations,neutral
why didn t u state all that in the advert very misleading,negative
bts no citibank bts no allianz em em,neutral
please check your dm and reply me please it s being hours that s bad enough please look into it and respond please,negative
i hope returns my money always deducting same whatsapp gr,negative
afeez has worked with he has also worked as a manager for westmoor global resources in ibadan he,neutral
bts no citibank bts no allianz em em,neutral
i need pos machine how can i get it,neutral
days no more dm day till eternity i wil continue advice nigerians desist frm doing biz wit,negative
your yahoo boyfriend that you always post on your status can load wellsfargo paypal worldremit et al but cannot load y,neutral
every time the clock hits i remember that gtbank reported sterling bank for their ads during brand wars instead o,neutral
hello fidelity bank the remaining is yet to be credited kindly check your system and revi,negative
that was those days not now again,negative
i still don t understand why i ll have to wait for days for to resolve an issue of k i need my m,negative
keep up the good work bro,positive 
can the discrepancies relating to my ecobank account be looked into as it soon exceeds cbn hr,neutral
ecobankpay recently launched at oshodi arena in lagos from the pictures you can tell that it was so much fun th,neutral
isheikh it was obviously a cloned site before you make any trnasaction on the we,neutral
i can t even login through the main app please i need a valid explaination of what s going on,negative
from k to naira no matter who you are nigeria will humble you,neutral
me that i want mazi to open new o,neutral
go through my account statement on the th my account was credited with fo,neutral
we shall respond to you shortly please hold on,neutral
gtbank fashion weekend nkwo,neutral
why don t i receive otp on my phone number but receive alart,neutral
if after working days and you are still telling me that you are waiting for feedback feedback from heav,neutral
since you updated upgraded your onepay app it has been nothing but a mess last,neutral
how i recorded baby was actually very funny i was asking my producer to send me beats then he forwarded a beat to me which ot,neutral
dear all pls we need your help for friend and brother he needs a non evasive procedure to help free his lef,neutral
i ve done that,neutral
mazi with the largest heart god continue to bless and protect you for us all,neutral
oluwa use someone to suprise me this week gtbank,neutral
unilag cuties are you ready is happening live at the sport center tonight come and watch,neutral
thata my account number,neutral
remember this has nothing to do with brexit also nothing to do with brexit sony dyson flybmi jaguar land rover,neutral
a man united fan that operates account is cooking his heavenly excuse on earth because he is already suff,neutral
brother malcolm on the corner of th and th avenue speaking to brothers in citibank is now located here,neutral
let s wait and see then,neutral
so you re yet to confirm and reverse since last week monday where do you people want to go and conf,negative
tune in to by pm to learn about what stewardship really means with but before then,neutral
am tired of you guys telling me lies in the dm if you not ready to return my money just te,negative
happy birthday to the ceo of and chairperson of dr awele vivian elumelu wishing you many more years,neutral
i have gone same old story well after calling them out zenith ban,neutral
charges n ussd transfer unlike other banks,neutral
best bank in the world,positive 
sent a dm do reply asap its urgent,neutral
i made a dstv subscription via my fcmb online banking platform and the transaction didn t went through i w,negative
pls can i get the issue i raised solved and resolved right away,neutral
whenever i want to transfer from my current account it keeps saying either the source or th,neutral
sebi some hater claimed he has friends that spends m on weekends on just babes and weddings zero empowerment oya naa,neutral
i believe that any bank that doesn t notify the customer of transactions either via sms or email is a,neutral
don t miss out on the mega giveaways happening on our page we are giving out free ubacards pre loaded with cash movie tick,neutral
jeffrey epstein s private wealth banker who brokered and signed off on untold multiple millions of dollars in controve,neutral
don t forget autism consultation continues today same time same venue beavoice gtbankautismconference,neutral
how will they pay innoson,neutral
dream again prison and youth foundation,neutral
they edited you for seeing a new day thank them later lol,neutral
the future of fashion will be sketched by a new generation of african designers will you be one here is an opportunity to tu,neutral
i tweeted at you guys days ago no reply i ve sent several emails too what s the matter,negative
my account i made complainta previously this is the complaint id can you give me the status,neutral
since th february that i was sending a sum of twenty thousand naira fro,neutral
reverse my money oooo i won t stop mentioning you in my tweets not until u reverse my money back,negative
to promote love and kindness declares today st of july as nicecommentday what s the nicest comment you v,neutral
please which bank do you think i can open an account with that is more customer friendly and efficient than access en,neutral
guys i need your help my project water of katampe just got a lifeline we need k retweets for the great people at,neutral
ripple doesnt have to focus on it but their affiliates such as boa citibank small community banks,neutral
i think it s time the and look into the heinous crimes committed by pension m,neutral
guys i need your help my project water of katampe just got a lifeline we need k retweets for the great people at,neutral
justiceforadetutu this is late miss nofisat adetutu ibrahim a staff of she was gruesomely murdered last we,negative
gearing up for some more summer travel amp couldn t be more excited ad love using my citi aadvantage platinum,neutral
i tried loading data through the sms code i was debited without the data this has been going on for a,negative
i agree with you i don t understand access bank since this merger,neutral
let s bring your sketches to life enter the sketchfame contest for the great opportunity to have your sketches produced and,neutral
